lat,lon,prefecture,city
34.617751,135.530813,大阪府,松原市東住吉区
34.618698,135.732661,奈良県,斑鳩町
34.622487,135.419658,大阪府,大阪市住之江区
34.623321,135.115263,兵庫県,神戸市須磨区
34.631077,135.772739,奈良県,大和郡山市
34.632366,135.512321,大阪府,松原市阿倍野区
34.634098,135.232091,兵庫県,芦屋市中央区
34.634103,135.68946,奈良県,平群町
34.639616,135.49103,大阪府,大阪市西成区
34.640097,133.584103,岡山県,矢掛町
34.642345,133.176718,広島県,府中市
34.642423,133.483374,岡山県,井原市
34.643469,134.172374,岡山県,瀬戸内市
34.644233,131.1606,山口県,萩市
34.645932,136.431727,三重県,津市
34.646374,135.462156,大阪府,大阪市大正区
34.646833,135.391018,大阪府,大阪市此花区
34.646856,135.14795,兵庫県,神戸市長田区
34.649408,135.544095,大阪府,松原市生野区
34.654917,134.068267,岡山県,瀬戸内市東区
34.655421,133.968776,岡山県,岡山市中区
34.657893,135.892103,奈良県,奈良市
34.659345,135.495702,大阪府,大阪市浪速区
34.660026,135.448285,大阪府,大阪市港区
34.660694,135.51988,大阪府,大阪市天王寺区
34.661716,136.019649,奈良県,山添村
34.664024,135.168555,兵庫県,神戸市兵庫区
34.664963,134.836932,兵庫県,播磨町
34.665085,134.924277,兵庫県,明石市
34.668138,137.866748,静岡県,磐田市
34.668216,135.618074,大阪府,東大阪市
34.670725,137.93046,静岡県,袋井市
34.673999,135.546837,大阪府,東大阪市東成区
34.677501,135.454574,大阪府,大阪市
34.67889,135.516119,大阪府,大阪市中央区
34.679832,135.480002,大阪府,大阪市西区
34.687595,138.01985,静岡県,掛川市
34.693272,132.672154,広島県,安芸高田市
34.693709,135.476563,大阪府,大阪市福島区
34.695633,136.890219,愛知県,南知多町
34.696918,135.550554,大阪府,守口市城東区
34.70181,135.431224,大阪府,大阪市西淀川区
34.701949,133.693379,岡山県,総社市
34.702092,132.366687,広島県,北広島町
34.702602,135.498545,大阪府,大阪市北区
34.702692,135.285054,兵庫県,芦屋市東灘区
34.705177,135.579101,大阪府,門真市鶴見区
34.710153,138.241385,静岡県,牧之原市
34.711494,135.119875,兵庫県,神戸市
34.71221,135.527704,大阪府,守口市都島区
34.713923,135.713567,奈良県,生駒市
34.713963,135.632928,大阪府,大東市
34.716288,135.004504,兵庫県,稲美町西区
34.722599,135.397191,兵庫県,尼崎市
34.725875,135.664249,大阪府,四條畷市
34.726755,135.228211,兵庫県,芦屋市灘区
34.728692,135.546579,大阪府,守口市旭区
34.72903,135.476135,大阪府,豊中市淀川区
34.729785,136.181143,三重県,伊賀市
34.730268,135.597393,大阪府,門真市
34.730271,135.29498,兵庫県,芦屋市
34.732795,138.322308,静岡県,吉田町
34.73363,133.946121,岡山県,岡山市
34.735608,138.094685,静岡県,菊川市
34.738154,135.580153,大阪府,守口市
